rank,SA1_CODE_2021,state,gentrification_risk_score,local_morans_i,spatial_lag,lisa_category,total_population,median_personal_income,pct_year12,pct_young_professionals,edu_income_mismatch
9914,21203155626,VIC,53.80108863231527,0.8498528102443048,56.70347507577228,LL (Coldspot),402,900,74.80916030534351,41.7910447761194,14.315906570476445
9913,21005144533,VIC,53.80112389893701,0.6763746844782024,57.87041104950649,LL (Coldspot),311,888,72.3076923076923,44.05144694533762,11.61620375945023
9912,12702151511,NSW,53.80120788415967,0.35656869583592027,60.021670968976636,LL (Coldspot),348,454,59.917355371900825,24.71264367816092,45.72143857477837
9911,50502109712,WA,53.80132023948399,0.5993316425966054,58.388575322570716,LL (Coldspot),617,849,68.0,34.6839546191248,9.60083135740232
9909,20702115613,VIC,53.803111453772445,1.2730202786982203,53.85489723876262,LL (Coldspot),633,743,67.79661016949152,26.224328593996844,27.6044812818971
9908,40401109125,SA,53.80439175885079,0.6203034718673142,58.24601042268833,LL (Coldspot),487,807,67.26804123711341,31.622176591375773,14.84315842396196
9905,21304135946,VIC,53.81734257102742,0.4343251859735814,59.493130964795334,LL (Coldspot),281,1178,84.04907975460122,52.66903914590747,2.8730451787266844
9903,21304157806,VIC,53.81854258853036,0.7233705794090322,57.54442349851631,LL (Coldspot),658,750,66.84931506849315,38.60182370820669,24.32751811470136
9901,30404109817,QLD,53.82033991968396,0.7435425039819871,57.407407996433996,LL (Coldspot),368,1062,76.12456747404845,40.76086956521739,-1.0066440221265085
9900,31106133111,QLD,53.82167242935336,-0.0,0.0,LL (Coldspot),370,472,48.90829694323144,35.13513513513514,22.20146695875273
9899,12702151147,NSW,53.82299641661096,0.47133274234053685,59.241628776785184,LL (Coldspot),349,415,59.42622950819673,22.349570200573066,46.14657543010729
9898,50302103935,WA,53.82435084731547,0.626655592005847,58.193472948613234,LL (Coldspot),574,743,71.25307125307125,24.390243902439025,34.280977350136475
9897,21005124724,VIC,53.82463126437772,0.7970982176090787,57.043659454154906,LL (Coldspot),643,529,59.7254004576659,29.237947122861584,38.892304305101455
9896,11901136105,NSW,53.82474304135128,0.3904801795101779,59.78635951849638,LL (Coldspot),427,452,61.77474402730376,24.355971896955506,50.04155868486551
9895,20603111520,VIC,53.82591993946761,0.23324827887129118,60.846724015424314,LL (Coldspot),407,367,54.34782608695652,26.28992628992629,36.18144957976949
9894,50302104002,WA,53.827932672502975,0.7102602885322085,57.627560930845036,LL (Coldspot),658,1144,77.42537313432835,38.297872340425535,-4.50577185608644
9892,50602111927,WA,53.83388552688347,0.2736366640745432,60.57254145551882,LL (Coldspot),373,1060,72.16494845360825,40.48257372654155,-7.565969201635696
9891,40402110104,SA,53.83538594813618,-0.0,0.0,LL (Coldspot),490,527,52.4547803617571,32.857142857142854,24.168641128046048
9890,30503112416,QLD,53.83549645683871,0.9914219126441033,55.72443664821661,LL (Coldspot),323,1239,70.78651685393258,42.10526315789473,-19.995098138152244
9888,50302104014,WA,53.83792710614768,0.7096806969763252,57.62589519190425,LL (Coldspot),419,1315,82.13256484149855,37.70883054892602,-3.979294666189702
9887,30901122734,QLD,53.84065177182673,0.6448762608147013,58.06231001225068,LL (Coldspot),236,1112,77.29468599033817,44.91525423728814,-2.7655809766267367
9886,40401109727,SA,53.841008001620565,0.5381396572620434,58.78346687814113,LL (Coldspot),300,718,66.23931623931624,27.0,28.95605439111622
9884,30301104720,QLD,53.84524391018114,-0.0,0.0,LL (Coldspot),763,1229,82.41935483870968,40.1048492791612,-1.1849894935434122
9883,30305107222,QLD,53.84623687446234,0.23146617743339146,60.85504633371222,LL (Coldspot),514,864,73.77521613832853,36.964980544747085,17.92563885986894
9882,12302144350,NSW,53.8462537509021,0.4683013362718957,59.25350570091693,LL (Coldspot),470,511,58.54430379746836,30.638297872340424,37.75393563068116
9881,70201104911,NT,53.84660446940524,0.9301667075050463,56.13000124397843,LL (Coldspot),145,1863,83.78378378378379,39.310344827586206,-7.221301138941627
9880,12503148313,NSW,53.84754926882661,0.3042812046793958,60.362339192551055,LL (Coldspot),543,503,59.09090909090909,32.41252302025783,39.503932315826425
9879,50604113257,WA,53.849257221586335,0.4283563680445079,59.5226083440233,LL (Coldspot),493,1114,81.26801152737752,46.85598377281947,2.9503169327711163
9877,30602114521,QLD,53.850795981703584,0.38672014104547403,59.803791668062395,LL (Coldspot),298,1068,74.13793103448276,39.93288590604027,-4.757909055605083
9876,80110113513,ACT,53.85449245581656,0.7288690275942282,57.48674234169635,LL (Coldspot),576,1294,85.5072463768116,49.65277777777778,0.4743320347267712
9875,20702115601,VIC,53.85489723876262,1.27302027869822,53.803111453772445,LL (Coldspot),409,696,70.79646017699115,24.449877750611247,41.92403545810296
9874,11901136022,NSW,53.85543743666358,0.7098659557599143,57.61483924281315,LL (Coldspot),445,495,61.86186186186187,25.617977528089884,46.26356583887722
9873,50602111937,WA,53.85697524758765,0.2731014278002859,60.571183236653866,LL (Coldspot),390,1095,71.55963302752293,45.38461538461539,-11.346423163969746
9872,21204156610,VIC,53.85779684222799,0.7880542879526508,57.08407359775083,LL (Coldspot),370,825,74.9034749034749,31.62162162162162,25.90408988736449
9871,20603111316,VIC,53.85816449331093,0.487259539236387,59.12072204536017,LL (Coldspot),247,809,71.27659574468085,30.364372469635622,22.333784365858328
