rank,SA1_CODE_2021,gentrification_risk_score,gentrification_risk_percentile,risk_category,total_population,median_personal_income,median_household_income,median_rent_weekly,income_percentile,education_percentile,pct_year12,pct_tertiary,edu_income_mismatch,pct_young_professionals,pct_age_20_24,pct_overseas_born,pct_non_english,avg_household_size,rental_stress,income_component,education_component,youth_component,mismatch_component,diversity_component,density_component
72,20703116358,91.7975282499498,99.88519500679128,Very High,558,580,927,351,15.880279412715867,95.53162540651755,87.11018711018711,0.0,80.76263854500672,55.7347670250896,19.17562724014337,81.18279569892472,78.67383512544804,1.8,100,15.026545781262762,95.78918432626948,98.67048033990473,80.76263854500672,99.76409021057441,95.18198004223427
73,40101100152,91.72716569063635,99.88357803505595,Very High,723,583,1037,420,16.182653127223336,96.60018583659652,88.52201257861635,0.0,81.53006203383221,40.387275242047025,34.3015214384509,68.46473029045643,59.19778699861688,1.7,100,15.332026464101933,96.86208849793414,97.16385768568793,81.53006203383221,96.73879636167297,96.97486646515671
74,20604112410,91.69099766577375,99.88196106332062,Very High,313,294,2250,527,2.336524157557726,99.0674985066702,93.7984496124031,0.0,97.99580596577835,30.670926517571885,23.642172523961662,48.881789137380196,34.185303514377,2.3,0,1.343624928530589,99.33943089430893,87.7865451612635,97.99580596577835,82.59916102504464,72.84998550784645
75,30503112619,91.64788472873369,99.88034409158529,Very High,321,337,588,335,2.4456697496927755,98.4286852060795,91.81494661921708,0.0,97.24412877175357,21.49532710280374,31.464174454828658,40.18691588785047,34.57943925233645,1.4,100,1.453892019929756,98.69802079168332,79.95576582494243,97.24412877175357,78.88108983677368,99.30686099954453
76,20902152614,91.60672883550886,99.87872711984994,Very High,13,575,1125,193,15.22298040230257,99.72539324351231,100.0,0.0,85.6375071469411,84.61538461538461,0.0,0.0,61.53846153846154,1.8,0,14.362492853058892,100.0,99.92516774896275,85.6375071469411,71.34111392615358,95.18198004223427
77,31202135614,91.48530398706929,99.87711014811461,Very High,7,575,2166,355,15.22298040230257,99.72539324351231,100.0,0.0,85.6375071469411,57.14285714285714,0.0,71.42857142857143,0.0,1.8,0,14.362492853058892,100.0,97.07239604553129,85.6375071469411,77.25879470033641,95.18198004223427
78,20701152005,91.44073489701049,99.87549317637928,Very High,256,617,1262,305,20.161212082012806,99.2574832415212,94.91525423728814,0.0,80.17872178091109,50.78125,28.515625,52.734375,45.703125,1.4,0,19.351466143918973,99.53018792483006,98.64054743948982,80.17872178091109,88.57831125140176,99.30686099954453
79,21205156713,91.09916729338696,99.87387620464393,Very High,452,475,1333,378,6.19138477459414,97.20747328598924,89.3854748603352,0.0,92.23374935739989,42.256637168141594,37.610619469026545,67.03539823008849,60.61946902654868,2.6,0,5.238095238095237,97.47184459549513,97.97204599689032,92.23374935739989,96.73547368858246,50.30019460891887
80,20703116346,91.09686872007363,99.87225923290862,Very High,705,590,1065,381,16.919183752668005,95.27775934160748,86.82042833607908,0.0,79.45816115275689,50.92198581560283,19.71631205673759,78.58156028368795,76.59574468085107,1.8,100,16.076125132728905,95.53428628548579,97.90552844041275,79.45816115275689,99.61789259459235,95.18198004223427
81,21205156718,91.0623194403623,99.87064226117327,Very High,330,528,1125,378,10.844220943017916,98.8401805269795,93.06122448979592,0.0,89.17244835301199,48.484848484848484,31.515151515151512,60.303030303030305,60.303030303030305,2.5,100,9.93874050477824,99.11118885779022,98.51416408218245,89.17244835301199,95.23030277858537,58.33712889735414
