SAL_CODE_2021,Suburb_Name,PCA_X,PCA_Y,PCA_Z,tSNE_X,tSNE_Y,UMAP_X,UMAP_Y,UMAP_Z
SAL12831,Mullaley,-2.206769164857894,0.0852347675588477,-0.5242963960182682,-28.886698,-17.61033,1.1802077,3.1676114,-0.79015034
SAL12832,Mullamuddy,-2.043481919653786,0.2110960732052502,0.8561882072016053,-2.5443442,68.45209,-1.6650934,4.9420547,-1.0212593
SAL12833,Mullaway,-1.7670369217962147,0.039410535782266685,0.74193650530203,15.885052,15.109984,-1.2363348,6.3750925,-2.2185926
SAL12834,Mullengandra,-2.0417244397021697,0.23430505079720462,0.7819333170565916,-6.2714376,42.48048,-2.3542972,4.508035,-1.6605767
SAL12835,Mullengudgery,-2.1445668321428744,0.21254166100153635,0.279660387651693,-12.729589,18.971762,-1.1558291,4.090077,-0.9501822
SAL12836,Mullion,-1.5753914486973943,0.40969255071662364,2.194391213538214,24.962112,48.131477,-3.1024709,6.6538715,-1.4583058
SAL12837,Mullion Creek,-1.7901169632520297,0.08840624070428321,0.9438956531648505,6.8526273,29.974136,-2.1018577,5.9285207,-2.2430174
SAL12838,Mulloon,-1.8665966009135875,0.367093400745221,2.0591951181718318,24.032898,53.46497,-3.6122432,6.033243,-1.368373
SAL12839,Mullumbimby,2.2705717173742954,0.4186821848655235,0.4462829635296949,60.30888,-1.5573509,-2.0776746,10.5623255,-1.9737114
SAL12840,Mullumbimby Creek,-0.8527539883568687,0.4056026141672845,0.6687965321236411,26.911564,-1.5073469,-1.0174856,7.2823796,-1.3206066
SAL12841,Mulwala,-0.5711482387544198,-0.19879194098697023,-0.2532085382372364,32.050568,-40.008545,-0.54406065,9.173869,-1.3129052
SAL12842,Mulyandry,-2.206724272656662,0.3075370117553225,-0.19655595465938877,-26.459696,12.278101,-0.36250362,3.1818123,0.41836345
SAL12843,Mumbil,-2.254818831887883,0.023759826729158513,-1.2306179867373173,-34.716305,-42.82245,2.5160651,2.6371896,0.16653161
SAL12844,Mumblebone Plain,-2.257874167737015,0.1711598704869427,-0.03339774424534662,-56.972504,28.771326,-1.1309898,-0.21010481,-0.10123308
SAL12845,Mumbulla Mountain,-2.6773740834970736,0.06513228247666113,-5.1353729529204,-88.90858,-23.703114,3.2712255,-2.6894996,3.7697918
SAL12846,Mummel,-2.028335392906838,0.2512241930177411,1.0088275390726944,10.82264,59.657578,-2.9871128,4.781717,-1.3306594
SAL12847,Mummulgum,-2.220311016694779,0.07593122433379372,-0.5417954961228624,-18.924347,-24.129528,1.2661753,3.6473897,-1.313514
SAL12848,Mundamia,-2.17200440757026,0.19949455923691017,-0.1629571012060308,-0.45813963,-40.815865,1.7896827,5.224694,-0.007483527
SAL12849,Mundarlo,-2.2611275419018355,0.1936965006933607,-0.24199900829538235,-56.678818,10.747528,-0.13198762,0.47512695,0.7216716
SAL12850,Munderoo,-2.1229376513291065,0.15841718803186677,0.5857118800519188,-16.241623,29.424456,-0.7345389,4.6123185,-2.324478
