SAL_CODE_2021,Suburb,Median_age_persons,Median_tot_prsnl_inc_weekly,Median_tot_hhd_inc_weekly,Median_mortgage_repay_monthly,Median_rent_weekly,Average_household_size,owned_outright,owned_mortgage,renting_total,renting_private,renting_social,total_dwellings,pct_owned_outright,pct_owned_mortgage,pct_renting,pct_renting_social,mortgage_stress_ratio,mortgage_stress_level,high_mortgage_count,rent_stress_ratio,rent_stress_level,high_rent_count,pct_apartments,pct_houses,pct_small_dwellings,Average_num_psns_per_bedroom,pct_low_income,pct_high_income,single_parent_families,total_households,pct_young_adults,pct_families_age,pct_retirees,total_population,homeownership_lockout_score,family_lockout_score,first_buyer_lockout_score,crisis_score,affordability_score,is_sydney_metro
SAL12410,SAL12410,46,903,2374,2188,300,2.9,51,66,11,3,0,136,37.5,48.5,8.1,0.0,21.3,Manageable (<30%),40,12.6,Manageable (<30%),9,0.0,100.0,0.0,0.8,15.4,44.1,21,136,22.4,28.0,32.9,407,17.8,8.5,20.6,13.6,89.8,True
SAL10251,SAL10251,39,832,1786,1300,250,2.6,55,51,10,6,0,128,43.0,39.8,7.8,0.0,16.8,Manageable (<30%),14,14.0,Manageable (<30%),0,0.0,96.9,2.3,0.8,21.9,12.5,31,128,22.6,25.4,32.7,358,17.5,10.9,19.6,13.7,89.7,True
SAL10101,SAL10101,34,955,1899,1257,280,2.7,38,47,20,13,0,110,34.5,42.7,18.2,0.0,15.3,Manageable (<30%),10,14.7,Manageable (<30%),0,0.0,96.4,2.7,0.9,24.5,12.7,8,110,27.6,22.2,27.9,351,23.8,11.9,22.8,16.2,89.7,True
SAL11857,SAL11857,39,825,1856,1500,275,2.8,163,120,89,41,0,406,40.1,29.6,21.9,0.0,18.7,Manageable (<30%),20,14.8,Manageable (<30%),6,1.0,98.8,0.0,0.8,26.4,21.4,75,406,26.4,25.4,29.3,1388,24.5,11.3,26.4,17.9,89.7,True
SAL10198,SAL10198,48,670,1262,744,200,2.2,105,51,23,6,9,190,55.3,26.8,12.1,4.7,13.6,Manageable (<30%),0,15.8,Manageable (<30%),0,0.0,97.4,5.3,0.7,63.7,8.4,38,190,21.1,24.8,38.8,459,18.3,20.5,20.6,20.4,89.6,True
SAL14114,SAL14114,35,823,1554,970,175,2.5,121,88,187,28,65,434,27.9,20.3,43.1,15.0,14.4,Manageable (<30%),15,11.3,Manageable (<30%),0,3.2,91.5,4.8,0.8,38.0,15.4,140,434,26.4,23.1,28.0,1824,33.1,14.0,31.9,21.9,89.6,True
SAL11923,SAL11923,44,975,2131,1620,350,2.7,69,81,21,9,0,171,40.4,47.4,12.3,0.0,17.5,Manageable (<30%),22,16.4,Manageable (<30%),0,0.0,98.8,0.0,0.7,15.8,28.7,19,171,22.1,28.9,34.2,471,20.2,9.5,20.4,14.4,89.6,True
SAL11171,SAL11171,42,802,1589,1083,200,2.5,71,50,18,5,0,159,44.7,31.4,11.3,0.0,15.7,Manageable (<30%),10,12.6,Manageable (<30%),0,0.0,93.7,3.1,0.8,41.5,12.6,16,159,20.4,22.8,36.7,496,17.9,14.6,20.6,16.8,89.6,True
SAL12810,SAL12810,46,805,2294,2000,300,2.8,69,51,6,3,0,126,54.8,40.5,4.8,0.0,20.1,Manageable (<30%),36,13.1,Manageable (<30%),0,0.0,100.0,2.4,0.8,20.6,43.7,22,126,24.2,27.9,32.1,380,15.2,10.4,20.3,13.6,89.6,True
SAL12395,SAL12395,40,849,2086,1813,300,2.9,81,63,22,10,0,182,44.5,34.6,12.1,0.0,20.1,Manageable (<30%),22,14.4,Manageable (<30%),0,0.0,100.0,0.0,0.8,29.1,25.8,10,182,21.0,27.4,27.9,552,18.9,11.7,22.4,16.6,89.6,True
SAL11609,SAL11609,41,762,1819,1625,250,2.9,80,101,24,11,0,210,38.1,48.1,11.4,0.0,20.6,Manageable (<30%),26,13.7,Manageable (<30%),0,0.0,99.0,0.0,0.8,24.3,13.3,36,210,18.3,26.6,31.3,684,18.5,10.6,20.5,15.7,89.5,True
SAL12264,SAL12264,44,920,2210,1800,280,2.9,133,105,35,12,0,288,46.2,36.5,12.2,0.0,18.8,Manageable (<30%),20,12.7,Manageable (<30%),5,0.0,96.2,1.4,0.8,14.9,33.0,44,288,22.2,27.7,31.1,877,18.5,8.8,22.0,13.7,89.5,True
SAL10948,SAL10948,36,937,1816,1109,200,2.3,411,354,434,155,88,1257,32.7,28.2,34.5,7.0,14.1,Manageable (<30%),49,11.0,Manageable (<30%),6,5.3,89.2,4.4,0.7,41.4,20.4,276,1257,26.6,23.2,29.1,3603,29.2,14.3,28.5,20.4,89.4,True
SAL14355,SAL14355,30,1051,2284,1800,340,3.0,28,81,12,7,0,125,22.4,64.8,9.6,0.0,18.2,Manageable (<30%),16,14.9,Manageable (<30%),0,0.0,100.0,3.2,0.8,16.0,32.0,7,125,28.9,26.3,18.5,395,21.8,10.2,19.5,13.8,89.4,True
SAL10789,SAL10789,41,905,2231,1962,350,3.0,89,134,15,8,0,247,36.0,54.3,6.1,0.0,20.3,Manageable (<30%),54,15.7,Manageable (<30%),3,0.0,100.4,0.0,0.8,27.9,26.3,51,247,19.7,27.5,30.2,804,17.5,11.9,18.5,15.6,89.3,True
SAL12513,SAL12513,39,883,1825,1365,275,2.8,49,49,19,10,0,120,40.8,40.8,15.8,0.0,17.3,Manageable (<30%),0,15.1,Manageable (<30%),0,0.0,102.5,7.5,0.8,21.7,25.0,0,120,24.5,26.2,30.9,363,21.7,12.7,22.5,15.7,89.3,True
