SAL_CODE,Suburb_Name,Top_Non_Australia_Country,Top_Non_Australia_Count,Australia_Count,Total_Population,Percentage_Non_Aus
SAL11660,Glenbrook,England,404,6375,7343,5.501838485632575
SAL12877,Murwillumbah,England,399,9031,10314,3.868528214077952
SAL14169,Warilla,England,396,6891,8096,4.891304347826087
SAL12697,Monterey,Greece,395,3916,6034,6.546237984753065
SAL12578,Menai,England,394,12255,14822,2.658210767777628
SAL11448,Ettalong Beach,England,393,5555,6804,5.776014109347442
SAL14277,Westleigh,England,390,4375,6400,6.09375
SAL11396,Eleebana,England,390,8124,9207,4.235907461713913
SAL10540,Bradbury (NSW),New_Zealand,389,9880,12872,3.0220633934120573
SAL11117,Cringila,North_Macedonia,388,1757,2723,14.248990084465662
SAL10208,Barrack Heights,England,388,6793,8215,4.723067559342666
SAL14171,Warners Bay,England,387,10243,11540,3.3535528596187176
SAL11893,Hebersham,Philippines,387,4745,7209,5.368289637952559
SAL13980,Tumbi Umbi,England,386,6586,7578,5.093692267088942
SAL11212,Darling Point,England,386,3435,5092,7.580518460329929
SAL13243,Point Clare,England,385,4415,5598,6.8774562343694186
SAL12785,Mount Lewis,Lebanon,384,1004,1622,23.674475955610358
SAL14285,Wheeler Heights,England,382,3615,4618,8.27197921177999
SAL12358,Little Bay,England,380,4166,6401,5.936572410560849
SAL14185,Warrawong,North_Macedonia,378,4000,5625,6.72
SAL11888,Hazelbrook,England,375,6156,7165,5.2337752965806
SAL12182,Kirribilli,England,375,2849,4586,8.177060619276059
SAL10837,Cartwright,Iraq,373,1918,3274,11.392791692119731
SAL13007,North Manly,England,373,3380,4708,7.92268479184367
SAL11727,Gorokan,England,372,10411,11759,3.163534314142359
SAL13123,Oyster Bay,England,370,6854,8136,4.5476892822025565
SAL13081,Ocean Shores,England,367,6135,7386,4.968860005415651
SAL10987,Colyton,Philippines,365,8590,11742,3.108499403849429
SAL13290,Putney,China,364,4053,5710,6.374781085814361
SAL11832,Gwynneville,India,363,2700,4350,8.344827586206897
SAL11441,Erskine Park,Philippines,359,6929,9062,3.9615978812624144
SAL10046,Alstonville,England,359,7228,8132,4.4146581406787995
SAL12951,New Lambton,England,356,13479,15166,2.347355927733087
SAL10399,Blair Athol (NSW),Philippines,356,2075,3700,9.621621621621621
SAL11890,Heathcote (NSW),England,355,7797,8733,4.0650406504065035
SAL10996,Como (NSW),England,352,4843,5846,6.021211084502224
SAL10303,Berkeley,England,351,8462,10383,3.3805258595781567
SAL12839,Mullumbimby,England,351,4341,5362,6.546064901156284
SAL14476,Yamba (NSW),England,350,7663,8662,4.040637266220273
SAL11215,Darlington (Sydney - NSW),China,350,2106,3586,9.760178471834914
SAL13121,Oxley Park,Philippines,347,3440,5340,6.49812734082397
SAL10917,Claremont Meadows,India,347,5485,7322,4.739142310844032
SAL11646,Gledswood Hills,India,346,6226,8543,4.050099496663935
SAL13026,North Willoughby,China,346,3819,5761,6.005901753167853
SAL10061,Anna Bay,England,344,5059,5847,5.883358987514965
SAL14424,Woolloomooloo,England,342,3049,4905,6.972477064220184
SAL13987,Tuncurry,England,341,7850,8706,3.916838961635653
SAL13012,North Richmond,England,339,7663,8833,3.837880674742443
SAL13307,Queens Park (NSW),England,337,3098,4237,7.953740854378098
SAL13699,Suffolk Park,England,337,4221,5463,6.168771737140765
SAL14093,Vincentia,England,336,4351,5274,6.370875995449373
SAL13507,Saratoga,England,334,4878,5640,5.921985815602837
SAL14283,Whalan,New_Zealand,333,5373,7444,4.473401397098335
SAL14136,Wallsend,England,331,15726,18211,1.8175827796386799
SAL13819,Terrey Hills,England,330,3609,4501,7.331704065763164
SAL12009,Jamisontown,England,330,6001,7245,4.554865424430641
SAL11487,Fairy Meadow,England,329,7704,10246,3.211009174311927
SAL12628,Miller,Vietnam,329,2793,4282,7.683325548808968
SAL12316,Lethbridge Park,New_Zealand,327,4571,5920,5.523648648648648
SAL11499,Faulconbridge,England,322,5112,5903,5.454853464340166
SAL13659,St Peters (NSW),England,321,3493,5015,6.400797607178464
SAL10178,Bangor (NSW),England,320,6729,7944,4.028197381671702
SAL10179,Banksia,North_Macedonia,318,2615,4496,7.072953736654804
SAL14428,Woolooware,England,318,6044,7169,4.4357650997349705
SAL11918,Hillsdale,Bangladesh,317,3668,7263,4.3645876359631
SAL12196,Koonawarra,England,317,4366,5066,6.25740228977497
SAL10908,Chisholm (NSW),India,316,5655,6611,4.779912267433066
SAL13936,Toronto,England,314,7285,8217,3.8213459900206885
SAL12262,Lake Munmorah,England,313,6337,7115,4.3991567111735765
SAL12139,Killarney Vale,England,313,9433,10415,3.0052808449351898
SAL13991,Tura Beach,England,309,3963,4659,6.632324533161622
SAL11428,Enmore (Inner West - NSW),England,308,3886,5281,5.832228744555955
SAL10934,Clontarf (NSW),England,305,1645,2460,12.398373983739837
SAL14219,Waverton,England,304,2607,3982,7.634354595680562
SAL12387,Long Jetty,England,304,8034,9155,3.320589841616603
SAL13464,Rutherford,England,303,16740,18212,1.6637381945969691
SAL11970,Hurlstone Park,Greece,302,4479,6802,4.439870626286386
SAL14433,Woongarrah,England,301,7223,8412,3.5782215882073225
SAL11610,Gerringong,England,299,5191,5835,5.124250214224507
SAL10698,Burradoo,England,299,3050,3821,7.825176655325832
SAL10598,Brookvale,England,299,2793,4487,6.663695119233341
SAL12324,Liberty Grove,India,296,1299,2819,10.500177367860944
SAL11014,Constitution Hill,India,294,3473,5449,5.395485410167003
SAL11982,Illawong,England,293,8280,10642,2.7532418718286036
SAL12430,Lugarno,China,293,6657,8346,3.510663791037623
SAL11056,Copacabana,England,293,3343,3966,7.3877962682803835
SAL13930,Toormina,England,292,7363,8225,3.5501519756838906
SAL13628,Spring Farm (NSW),England,291,11877,14010,2.0770877944325483
