SA1_CODE_2021,SA2_CODE,SA3_CODE,total_commuters,total_car,total_public_transit,total_active_transport,car_dependency_ratio,public_transit_ratio,active_transport_ratio,total_population,sa2_employment,sa2_employment_density,sa3_employment,sa3_employment_density,car_dependency_score,commuter_volume_score,employment_proximity_score,transit_gap_score,tod_score,commute_pain_score
50102125104,501021251,50102,503,470,23,3,0.9343936381709742,0.04572564612326044,0.005964214711729622,1232,4929,0.504503582395087,49442,0.4597160364113102,93.43936381709742,99.82132462324559,52.03132074251342,89.16678853321423,86.64508591563676,5.814335677919569
40304108317,403041083,40304,520,483,29,0,0.9288461538461539,0.05576923076923077,0.0,1079,3614,0.4921023965141612,82945,0.469855494440133,92.88461538461539,99.8577064872906,53.05162990750921,87.70451183431953,86.49193526496714,5.810629365705531
21304146302,213041463,21304,529,489,23,8,0.9243856332703214,0.043478260869565216,0.015122873345935728,1709,10119,0.4968819052295605,90639,0.4567600118928235,92.43856332703214,99.86579134596727,48.547150895802346,88.41949535629162,85.48654244939269,5.798557384123017
21401137444,214011374,21401,503,468,19,6,0.9304174950298211,0.03777335984095427,0.011928429423459244,1430,13253,0.5314166566422069,68544,0.4921274258513365,93.04174950298211,99.82132462324559,73.52572602030916,89.52725001877403,90.82096739410575,5.789593823970975
30306107707,303061077,30306,564,515,37,0,0.9131205673758865,0.06560283687943262,0.0,1588,4033,0.4468698060941828,23074,0.45973301454473003,91.31205673758865,99.88196106332062,33.459591876334,85.32172677430712,81.71350206672915,5.7862859069865555
31802147409,318021474,31802,524,484,7,20,0.9236641221374046,0.013358778625954198,0.03816793893129771,1032,4251,0.5402897813929842,94017,0.4875894616741002,92.36641221374046,99.86094043076127,74.23112993984866,91.13250976050347,90.86432397874465,5.785276257813637
40402110027,404021100,40402,570,519,32,7,0.9105263157894737,0.056140350877192984,0.012280701754385965,1418,6855,0.4631756756756757,28734,0.47222587430975543,91.05263157894737,99.88357803505595,45.38758812495958,85.94090489381348,84.057734156469,5.779464911949947
50701116023,507011160,50701,713,627,60,10,0.879382889200561,0.08415147265077139,0.014025245441795231,1690,5528,0.4905928292509762,61606,0.5318932172952066,87.9382889200561,99.9385550740573,73.30622210723757,80.53815240504436,87.87194175219159,5.778322044020924
31401138341,314011383,31401,543,498,17,7,0.9171270718232044,0.03130755064456722,0.01289134438305709,1326,10841,0.5519014407167948,48196,0.5367874724344552,91.71270718232044,99.87306771877627,90.98336136084342,88.84140695745958,93.7278161564757,5.776936878331969
50402105108,504021051,50402,501,465,14,6,0.9281437125748503,0.027944111776447105,0.011976047904191617,1449,2903,0.5022491349480969,20530,0.46880708805261234,92.81437125748504,99.81809067977491,56.036155488002066,90.22075609260521,87.30048241378742,5.771754602109089
50902123607,509021236,50902,573,513,7,15,0.8952879581151832,0.012216404886561954,0.02617801047120419,1498,2894,0.488026981450253,24640,0.44049555750218994,89.52879581151832,99.88681197852661,40.36365694327664,88.43507579287848,82.69380088610848,5.687432600893434
21103145101,211031451,21103,631,553,55,5,0.8763866877971473,0.08716323296354993,0.00792393026941363,2048,6748,0.47726147535186364,58759,0.5128252122989378,87.63866877971473,99.9191514132333,63.96578487808033,79.99979907625307,85.82434981909725,5.651720816106517
31401138634,314011386,31401,589,515,38,11,0.8743633276740238,0.06451612903225806,0.01867572156196944,1342,13299,0.5469913215152388,48196,0.5367874724344552,87.43633276740238,99.90379018174762,90.33091326563611,81.7952790404732,91.19138071865979,5.578545172331713
30902123415,309021234,30902,510,456,25,13,0.8941176470588236,0.049019607843137254,0.025490196078431372,1220,8630,0.5278610312557342,28710,0.499208847003182,89.41176470588236,99.83587736886359,75.39292413168619,85.02883506343714,89.29693742569296,5.576048104182136
50402105432,504021054,50402,505,449,36,10,0.8891089108910891,0.07128712871287128,0.019801980198019802,1092,5928,0.4617541673157813,20530,0.46880708805261234,88.91089108910892,99.82536705258393,42.38931828471638,82.57268895206353,82.24709910356836,5.536069236653608
50403106202,504031062,50403,501,439,41,8,0.8762475049900199,0.08183632734530938,0.015968063872255488,1280,6157,0.4918517335037546,74465,0.5020428251665273,87.62475049900199,99.81809067977491,64.97194554039196,80.45386273361461,86.03510278497312,5.449032839410517
50201102427,502011024,50201,624,523,62,9,0.8381410256410257,0.09935897435897435,0.014423076923076924,1644,8229,0.413413715146948,43194,0.4012783233154653,83.81410256410257,99.9143004980273,13.228041523834163,75.48641929651545,73.6941814094676,5.395743770532272
50503125803,505031258,50503,507,437,45,7,0.8619329388560157,0.08875739644970414,0.013806706114398421,1402,4769,0.4331910255245708,104250,0.4999856119248367,86.19329388560158,99.82779251018692,47.53977750468922,78.54300152889138,81.78791096112369,5.370257184599204
