SA1_CODE_2021,separate_house,semi_attached,flat_apartment,other_dwelling,total_dwellings,pct_separate,pct_semi_attached,pct_apartment,pct_other,pct_low_density,pct_medium_density,pct_high_density,median_age,pct_age_55_plus,total_population,median_personal_income,median_household_income,median_family_income,tertiary_qualified,total_qualified,pct_tertiary,urban_proximity_score,subdivision_potential_score,high_subdivision_potential,luxury_apartment_demand_score,high_luxury_demand,downsizing_wave_score,high_downsizing_potential,transform_prob_5yr,transform_prob_10yr,transform_prob_15yr,redevelopment_readiness_score,readiness_percentile,readiness_category
50501107520,252,9,11,0,287,87.8,3.14,3.83,0.0,87.8,3.14,3.83,49,37.64,781,1100,3095,3485,232,473,49.05,97.83,80.69,False,86.79,True,95.98,True,47.97,72.93,85.91,89.47,99.97,Very High
30403109209,170,22,4,0,210,80.95,10.48,1.9,0.0,80.95,10.48,1.9,47,39.27,606,1074,3166,4643,257,370,69.46,89.66,77.08,False,95.69,True,97.84,True,48.66,73.64,86.47,89.44,99.97,Very High
30302105336,209,0,0,0,218,95.87,0.0,0.0,0.0,95.87,0.0,0.0,39,25.21,714,1317,4714,4868,285,390,73.08,96.23,79.92,False,99.55,True,85.11,False,48.07,73.03,85.99,89.39,99.96,Very High
31802149001,216,6,3,0,243,88.89,2.47,1.23,0.0,88.89,2.47,1.23,48,33.65,639,1708,4250,4353,247,398,62.06,92.51,78.28,False,96.05,True,93.39,True,48.37,73.34,86.24,89.35,99.96,Very High
30402109106,195,0,0,0,201,97.01,0.0,0.0,0.0,97.01,0.0,0.0,44,26.41,693,1148,4606,4528,292,416,70.19,95.44,79.56,False,99.2,True,86.26,False,48.11,73.07,86.02,89.32,99.96,Very High
11501129614,176,31,0,0,202,87.13,15.35,0.0,0.0,87.13,15.35,0.0,42,31.59,649,1280,3591,3727,245,385,63.64,93.2,78.58,False,97.32,True,90.96,True,48.28,73.25,86.17,89.28,99.96,Very High
40103101212,209,31,0,0,262,79.77,11.83,0.0,0.0,79.77,11.83,0.0,43,29.9,729,1127,2880,3461,284,427,66.51,96.68,80.13,False,95.93,True,87.49,False,47.96,72.91,85.9,89.23,99.96,Very High
50301103010,180,0,0,0,202,89.11,0.0,0.0,0.0,89.11,0.0,0.0,48,36.52,586,1256,4521,4782,244,344,70.93,87.43,76.14,False,99.22,True,96.32,True,48.75,73.73,86.54,89.21,99.96,Very High
21102126127,193,0,0,0,203,95.07,0.0,0.0,0.0,95.07,0.0,0.0,48,38.59,596,1047,3444,3678,204,337,60.53,88.56,76.62,False,96.15,True,97.78,True,48.63,73.62,86.45,89.18,99.95,Very High
40103101210,206,4,0,0,223,92.38,1.79,0.0,0.0,92.38,1.79,0.0,45,34.22,640,1183,3073,3312,254,397,63.98,92.57,78.31,False,96.13,True,92.49,True,48.28,73.25,86.17,89.16,99.95,Very High
50501107612,303,0,0,0,319,94.98,0.0,0.0,0.0,94.98,0.0,0.0,44,27.83,999,1110,3710,3805,265,550,48.18,99.42,81.77,False,91.56,True,87.31,False,47.68,72.62,85.68,89.13,99.95,Very High
12003139506,156,15,3,0,180,86.67,8.33,1.67,0.0,86.67,8.33,1.67,49,41.14,598,1021,3607,4200,174,298,58.39,88.78,76.71,False,93.99,True,99.38,True,48.58,73.56,86.41,89.11,99.95,Very High
30402109018,282,0,0,0,292,96.58,0.0,0.0,0.0,96.58,0.0,0.0,39,24.71,866,1185,3115,3187,322,487,66.12,98.8,81.25,False,96.78,True,83.11,False,47.72,72.67,85.71,89.11,99.95,Very High
