SA1_CODE_2021,Lebanon_population,total_population,concentration_ratio,is_cluster,Median_rent_weekly,Median_mortgage_repay_monthly,Median_tot_hhd_inc_weekly,Average_household_size,rent_to_income_ratio,mortgage_to_income_ratio,rent_affordability,mortgage_affordability
12503148423,214,1091,0.19615032080659944,True,271,2167,1421,3.0,0.19071076706544687,0.35191901694364747,Affordable,Moderately_Affordable
11903137313,214,933,0.22936763129689175,True,173,737,609,2.4,0.28407224958949095,0.2792724516862448,Affordable,Affordable
21005124343,213,857,0.2485414235705951,True,361,1500,1071,3.2,0.3370681605975724,0.32320620555914675,Moderately_Affordable,Moderately_Affordable
12503148408,212,1075,0.1972093023255814,True,480,2278,1553,3.2,0.30907920154539603,0.33850116400019814,Moderately_Affordable,Moderately_Affordable
12503148404,210,1115,0.18834080717488788,True,550,2414,1605,3.2,0.3426791277258567,0.3470884255930985,Moderately_Affordable,Moderately_Affordable
11702163709,210,796,0.2638190954773869,True,450,3250,2062,2.4,0.21823472356935014,0.36372453928225024,Affordable,Moderately_Affordable
11902136610,210,899,0.2335928809788654,True,380,1800,1328,3.6,0.286144578313253,0.31278962001853566,Affordable,Moderately_Affordable
12503171409,209,998,0.2094188376753507,True,450,2167,1547,3.4,0.2908855850032321,0.3232559295907712,Affordable,Moderately_Affordable
11904166908,208,1180,0.17627118644067796,True,515,2650,2184,3.2,0.2358058608058608,0.28000845308537614,Affordable,Affordable
11901165625,208,551,0.37749546279491836,True,455,2380,1412,3.9,0.32223796033994334,0.3889736325996949,Moderately_Affordable,Moderately_Affordable
12503171608,206,1061,0.1941564561734213,True,495,2500,1812,2.9,0.2731788079470199,0.3183902190524707,Affordable,Moderately_Affordable
12503171406,206,1080,0.19074074074074074,True,500,2500,1687,3.3,0.2963841138114997,0.34198166978249966,Affordable,Moderately_Affordable
12503148426,205,831,0.246690734055355,True,410,2050,1513,3.1,0.2709847984137475,0.3126747674004779,Affordable,Moderately_Affordable
11901157243,205,836,0.2452153110047847,True,320,1885,929,2.9,0.3444564047362756,0.4682454251883746,Moderately_Affordable,Expensive
11901136132,205,1077,0.1903435468895079,True,450,1950,1410,3.4,0.3191489361702128,0.3191489361702128,Moderately_Affordable,Moderately_Affordable
12503171429,204,1035,0.19710144927536233,True,280,2167,1277,2.9,0.2192638997650744,0.39160291548701887,Affordable,Moderately_Affordable
21005124208,203,1314,0.15449010654490106,True,323,1430,1018,2.6,0.31728880157170924,0.3241650294695481,Moderately_Affordable,Moderately_Affordable
21005124224,203,1044,0.19444444444444445,True,346,1515,1034,2.9,0.3346228239845261,0.33811932748102963,Moderately_Affordable,Moderately_Affordable
11901135612,203,1249,0.16253002401921537,True,500,2500,1488,3.1,0.33602150537634407,0.38771712158808935,Moderately_Affordable,Moderately_Affordable
12503171603,201,939,0.21405750798722045,True,510,2383,2047,3.1,0.24914509037616023,0.26864830333320805,Affordable,Affordable
11901136117,201,1488,0.1350806451612903,True,461,2091,1462,3.3,0.31532147742818056,0.3300536672629696,Moderately_Affordable,Moderately_Affordable
11901135441,200,929,0.21528525296017223,True,260,2550,1392,3.1,0.1867816091954023,0.42274535809018565,Affordable,Expensive
12503148122,200,1166,0.17152658662092624,True,480,2000,1632,3.6,0.29411764705882354,0.2828054298642534,Affordable,Affordable
11901135615,199,1201,0.16569525395503748,True,500,2593,1773,3.5,0.2820078962210942,0.337498373031368,Affordable,Moderately_Affordable
12703159911,199,1072,0.18563432835820895,True,370,1906,1230,3.5,0.3008130081300813,0.3575984990619137,Moderately_Affordable,Moderately_Affordable
11901135627,198,772,0.25647668393782386,True,498,2167,1410,3.4,0.35319148936170214,0.3546644844517185,Moderately_Affordable,Moderately_Affordable
12503147923,198,1653,0.11978221415607986,True,440,2000,1432,3.5,0.30726256983240224,0.32230339492909327,Moderately_Affordable,Moderately_Affordable
