SA1_CODE_2021,Nepal_population,total_population,concentration_ratio,is_cluster,Median_rent_weekly,Median_mortgage_repay_monthly,Median_tot_hhd_inc_weekly,Average_household_size,rent_to_income_ratio,mortgage_to_income_ratio,rent_affordability,mortgage_affordability
30503113018,109,1016,0.10728346456692914,True,420,1517,2088,1.9,0.20114942528735633,0.16766136162687886,Affordable,Affordable
40202103019,109,950,0.11473684210526315,True,215,1060,752,2.4,0.2859042553191489,0.3252864157119476,Affordable,Moderately_Affordable
12501158624,109,698,0.15616045845272206,True,488,1967,1875,3.5,0.26026666666666665,0.2420923076923077,Affordable,Affordable
12504149118,108,727,0.1485557083906465,True,360,1743,1694,2.1,0.21251475796930341,0.23744437380801017,Affordable,Affordable
30302105313,108,730,0.14794520547945206,True,360,1822,1859,2.0,0.19365250134480905,0.22617619067323208,Affordable,Affordable
12003139610,108,979,0.11031664964249234,True,485,2550,2521,3.1,0.19238397461324871,0.2334238550025936,Affordable,Affordable
12701150528,108,1024,0.10546875,True,530,2688,2405,3.4,0.2203742203742204,0.2579241963857348,Affordable,Affordable
12302170527,107,574,0.18641114982578397,True,360,1589,1300,2.5,0.27692307692307694,0.2820710059171598,Affordable,Affordable
12503171410,107,686,0.15597667638483964,True,350,1500,1312,2.2,0.26676829268292684,0.2638367729831144,Affordable,Affordable
11904166817,107,1030,0.10388349514563107,True,500,2263,2083,2.3,0.2400384061449832,0.25071088297204475,Affordable,Affordable
80110113901,107,878,0.12186788154897495,True,540,3200,3672,3.4,0.14705882352941177,0.20110608345902464,Affordable,Affordable
40302106107,106,855,0.1239766081871345,True,350,1600,1451,2.5,0.2412129565816678,0.2544664157345067,Affordable,Affordable
11902165929,106,548,0.19343065693430658,True,383,2000,1212,2.6,0.31600660066006603,0.38080731150038083,Moderately_Affordable,Moderately_Affordable
12102157722,106,427,0.24824355971896955,True,390,2017,1429,2.0,0.2729181245626312,0.32572535931528235,Affordable,Moderately_Affordable
12504171906,106,1010,0.10495049504950495,True,320,1300,1533,2.3,0.20874103065883887,0.19569471624266144,Affordable,Affordable
80101100209,106,545,0.1944954128440367,True,300,1517,1273,2.1,0.2356637863315004,0.275001510665297,Affordable,Affordable
80104103913,105,345,0.30434782608695654,True,380,1585,1963,2.1,0.19358125318390218,0.18633175281163056,Affordable,Affordable
70201104606,105,850,0.12352941176470589,True,365,1733,2100,2.4,0.1738095238095238,0.19043956043956045,Affordable,Affordable
12701172818,105,828,0.12681159420289856,True,580,2600,2388,3.3,0.24288107202680068,0.25125628140703515,Affordable,Affordable
30203103806,105,877,0.11972633979475485,True,343,1574,1562,2.0,0.21959026888604352,0.2325421057815424,Affordable,Affordable
60103102108,104,543,0.19152854511970535,True,315,1408,1307,2.6,0.2410099464422341,0.2486022011653228,Affordable,Affordable
21305136313,104,876,0.1187214611872146,True,331,1718,1641,2.4,0.2017062766605728,0.24159752496132753,Affordable,Affordable
60103101712,104,832,0.125,True,255,1300,782,1.9,0.32608695652173914,0.3836317135549872,Moderately_Affordable,Moderately_Affordable
60103101722,104,800,0.13,True,354,1213,1176,2.4,0.3010204081632653,0.2380298273155416,Moderately_Affordable,Affordable
21003153516,104,726,0.14325068870523416,True,351,1696,1562,3.0,0.22471190781049935,0.25056633507337733,Affordable,Affordable
11904138142,103,489,0.21063394683026584,True,523,1860,2146,2.5,0.24370922646784715,0.20001433794537243,Affordable,Affordable
12501158710,103,852,0.12089201877934272,True,400,1525,1427,2.8,0.2803083391730904,0.24661743302247857,Affordable,Affordable
12501158303,103,195,0.5282051282051282,True,320,433,1437,2.7,0.22268615170494085,0.06953589208286494,Affordable,Affordable
50302104342,102,780,0.13076923076923078,True,280,1192,1742,2.2,0.16073478760045926,0.15790868144484677,Affordable,Affordable
12203169540,102,885,0.1152542372881356,True,550,2163,1918,2.0,0.2867570385818561,0.26024705221785516,Affordable,Affordable
30502111504,102,1001,0.1018981018981019,True,360,2123,1715,2.2,0.2099125364431487,0.2856694326082081,Affordable,Affordable
31701144630,102,788,0.12944162436548223,True,295,1300,1259,2.2,0.23431294678316125,0.23828435266084194,Affordable,Affordable
21303134826,101,796,0.12688442211055276,True,321,1559,1617,1.9,0.19851576994434136,0.22249179392036536,Affordable,Affordable
11902166122,101,793,0.1273644388398487,True,440,2500,1699,2.2,0.2589758681577399,0.3395662606963372,Affordable,Moderately_Affordable
12203169521,101,599,0.1686143572621035,True,523,2000,1787,2.4,0.2926692781197538,0.2582755800439068,Affordable,Affordable
80104104415,101,714,0.14145658263305322,True,473,1733,2281,2.4,0.2073651907058308,0.17532796007149362,Affordable,Affordable
70102102106,101,669,0.15097159940209268,True,438,2600,2894,3.4,0.15134761575673808,0.2073255010366275,Affordable,Affordable
12703173024,101,607,0.16639209225700163,True,510,3017,2515,3.2,0.20278330019880716,0.2768313197736657,Affordable,Affordable
12003139609,100,551,0.18148820326678766,True,405,1848,1859,2.5,0.21785906401291016,0.22940373236231223,Affordable,Affordable
12504149162,100,700,0.14285714285714285,True,420,1883,2178,2.6,0.1928374655647383,0.1995126086035177,Affordable,Affordable
40302106127,100,781,0.12804097311139565,True,325,1300,1316,2.2,0.24696048632218845,0.22796352583586627,Affordable,Affordable
30203104022,100,739,0.13531799729364005,True,390,1550,1608,1.9,0.24253731343283583,0.22244546498277842,Affordable,Affordable
11902136238,100,998,0.10020040080160321,True,380,1712,1187,2.1,0.3201347935973041,0.33283649795865466,Moderately_Affordable,Moderately_Affordable
50302129613,100,676,0.14792899408284024,True,340,1778,1763,2.2,0.19285309132161088,0.23273266721933766,Affordable,Affordable
80101100321,100,907,0.11025358324145534,True,400,1728,2016,2.1,0.1984126984126984,0.1978021978021978,Affordable,Affordable
11903166511,99,982,0.10081466395112017,True,425,2300,1520,3.1,0.27960526315789475,0.3491902834008097,Affordable,Moderately_Affordable
50602112327,99,851,0.11633372502937721,True,280,1560,1523,1.9,0.18384766907419567,0.23637557452396585,Affordable,Affordable
30503113105,99,880,0.1125,True,330,1800,1726,2.1,0.19119351100811124,0.24066316070951066,Affordable,Affordable
80104104017,99,711,0.13924050632911392,True,460,2167,2205,3.1,0.20861678004535147,0.22679225536368394,Affordable,Affordable
12102140354,99,446,0.2219730941704036,True,480,2255,2228,2.4,0.21543985637342908,0.23356580582792433,Affordable,Affordable
11602156306,98,891,0.10998877665544332,True,450,2333,2250,3.0,0.2,0.2392820512820513,Affordable,Affordable
12404146619,98,890,0.1101123595505618,True,320,1690,1238,1.8,0.25848142164781907,0.3150242326332795,Affordable,Moderately_Affordable
12403146218,97,946,0.10253699788583509,True,400,1912,1663,2.9,0.24052916416115455,0.2653221703131505,Affordable,Affordable
80104103917,97,391,0.24808184143222506,True,441,1400,1731,2.4,0.25476603119584057,0.1866417810958539,Affordable,Affordable
12102140363,97,799,0.1214017521902378,True,498,2400,2181,2.6,0.22833562585969738,0.253941381864353,Affordable,Affordable
12703173017,96,719,0.13351877607788595,True,595,2582,2562,3.5,0.23224043715846995,0.23257070798054405,Affordable,Affordable
60103101731,96,539,0.17810760667903525,True,293,1156,926,2.1,0.31641468682505397,0.28808772221299217,Moderately_Affordable,Affordable
12302170416,96,803,0.11955168119551682,True,460,2167,2115,3.1,0.21749408983451538,0.236442989634479,Affordable,Affordable
80109110908,96,694,0.138328530259366,True,368,1487,1702,1.7,0.21621621621621623,0.20161800596583204,Affordable,Affordable
60201104111,96,732,0.13114754098360656,True,268,1066,1050,2.4,0.25523809523809526,0.2342857142857143,Affordable,Affordable
20802117701,96,856,0.11214953271028037,True,300,2310,1172,1.9,0.25597269624573377,0.45484379102126543,Affordable,Expensive
12503148148,96,685,0.14014598540145987,True,400,2000,1602,3.0,0.24968789013732834,0.28810141169691733,Affordable,Affordable
10901117611,95,930,0.10215053763440861,True,200,888,777,1.8,0.2574002574002574,0.26373626373626374,Affordable,Affordable
80110113505,95,643,0.14774494556765164,True,490,1975,2788,2.7,0.1757532281205165,0.1634753338483611,Affordable,Affordable
40107102338,95,687,0.13828238719068414,True,265,1430,1153,1.9,0.22983521248915872,0.2862098872506505,Affordable,Affordable
11904167022,95,610,0.1557377049180328,True,400,1607,1481,2.4,0.2700877785280216,0.2504025346699216,Affordable,Affordable
40106102001,94,883,0.10645526613816535,True,285,1555,1534,2.2,0.18578878748370273,0.23392839233777957,Affordable,Affordable
50602131103,94,608,0.15460526315789475,True,310,2000,1861,2.4,0.16657710908113918,0.2480056214607531,Affordable,Affordable
11904167113,94,904,0.10398230088495575,True,540,2485,1987,2.4,0.27176648213387017,0.28860671286438777,Affordable,Affordable
80109110503,94,728,0.12912087912087913,True,338,1582,1773,2.2,0.19063733784545966,0.2059091500715866,Affordable,Affordable
70102101307,94,814,0.11547911547911548,True,460,1660,2750,3.0,0.16727272727272727,0.1393006993006993,Affordable,Affordable
20904122307,93,855,0.10877192982456141,True,348,1500,1408,2.6,0.2471590909090909,0.2458479020979021,Affordable,Affordable
12503171418,93,734,0.12670299727520437,True,420,1986,1333,2.7,0.3150787696924231,0.3438167234116221,Moderately_Affordable,Moderately_Affordable
21003153522,93,868,0.10714285714285714,True,381,2000,1721,2.6,0.22138291690877396,0.26818039601305144,Affordable,Affordable
12503148118,92,665,0.13834586466165413,True,430,2250,1454,3.7,0.29573590096286106,0.35710506824674637,Affordable,Moderately_Affordable
