SA1_CODE_2021,China_population,total_population,concentration_ratio,is_cluster
11703164536,428,2320,0.18448275862068966,True
11902166004,427,934,0.45717344753747324,True
12501158512,427,942,0.45329087048832273,True
12602172201,426,932,0.4570815450643777,True
11802156508,426,1059,0.40226628895184136,True
12003167804,426,1077,0.3955431754874652,True
11904167104,426,1212,0.35148514851485146,True
20604150623,425,1009,0.42120911793855303,True
30303106432,425,633,0.6714060031595577,True
50502109624,424,2462,0.17221770917952883,True
12103140864,424,750,0.5653333333333334,True
12602172319,424,1045,0.40574162679425835,True
12103141007,424,1212,0.34983498349834985,True
12501171021,424,924,0.4588744588744589,True
20702142416,424,1266,0.334913112164297,True
12001167313,424,609,0.6962233169129721,True
12003139641,423,1172,0.3609215017064846,True
30303106422,423,1147,0.3687881429816914,True
30306107913,423,933,0.4533762057877814,True
21205132328,423,1367,0.3094367227505486,True
11703164826,423,720,0.5875,True
12103140867,423,940,0.45,True
12602172311,422,894,0.4720357941834452,True
30306107903,422,1193,0.3537300922045264,True
11902166110,422,1151,0.366637706342311,True
11903166711,421,1264,0.33306962025316456,True
11902166019,421,1123,0.3748886910062333,True
20703116311,421,1131,0.372236958443855,True
11903137026,421,1240,0.3395161290322581,True
20703116603,421,950,0.4431578947368421,True
12602172519,420,928,0.4525862068965517,True
12003167817,420,1297,0.3238242097147263,True
30306108007,420,1251,0.33573141486810554,True
11904137904,420,1326,0.3167420814479638,True
12501171027,420,1039,0.40423484119345526,True
30301105115,420,1965,0.21374045801526717,True
40101100151,420,1185,0.35443037974683544,True
80101100215,419,1054,0.39753320683111953,True
11903137115,419,939,0.44621938232161873,True
12602150003,419,1109,0.37781785392245265,True
11903166521,418,731,0.5718194254445964,True
20701114716,418,1018,0.4106090373280943,True
21205156715,418,1056,0.3958333333333333,True
11902165910,417,926,0.4503239740820734,True
21103145101,417,4061,0.10268406796355578,True
20701114807,417,1134,0.36772486772486773,True
30306107912,417,896,0.4654017857142857,True
21205132215,417,1210,0.3446280991735537,True
20701114824,416,1050,0.3961904761904762,True
11703163904,416,667,0.623688155922039,True
12602172335,416,966,0.4306418219461698,True
12502171232,415,1010,0.41089108910891087,True
20703116313,415,707,0.5869872701555869,True
11903166515,415,856,0.4848130841121495,True
12501158211,415,945,0.43915343915343913,True
12501158516,414,844,0.490521327014218,True
30305107340,414,1668,0.24820143884892087,True
20703116135,414,1418,0.2919605077574048,True
12501171005,414,1100,0.37636363636363634,True
30403109608,413,1626,0.25399753997539976,True
12502147740,413,1490,0.2771812080536913,True
12103140727,413,1147,0.36006974716652135,True
20701114712,412,784,0.5255102040816326,True
11903166502,412,738,0.5582655826558266,True
11703164519,411,1899,0.21642969984202212,True
11903166401,411,787,0.5222363405336722,True
30305107307,410,1236,0.33171521035598706,True
21205132220,410,700,0.5857142857142857,True
80104104030,410,1605,0.2554517133956386,True
12602150036,410,1132,0.3621908127208481,True
30306108027,409,898,0.455456570155902,True
12003139617,409,1077,0.3797585886722377,True
12504171806,408,1240,0.32903225806451614,True
11703164232,408,1220,0.3344262295081967,True
11501129021,408,1051,0.3882017126546147,True
12501158225,408,968,0.4214876033057851,True
11703164728,407,1657,0.2456246228123114,True
12104141712,407,1445,0.2816608996539792,True
21205132129,407,880,0.4625,True
30303106421,407,1205,0.3377593360995851,True
21205132101,407,1156,0.35207612456747406,True
12502147833,407,654,0.6223241590214067,True
60105103103,406,1479,0.27450980392156865,True
12502147819,406,1460,0.27808219178082194,True
11903166507,406,933,0.43515541264737406,True
20702115724,405,903,0.4485049833887043,True
11903137422,404,926,0.43628509719222464,True
30305107349,404,1367,0.2955376737381127,True
12003167809,403,654,0.6162079510703364,True
11703164719,403,1052,0.3830798479087453,True
20702115747,403,962,0.4189189189189189,True
30303106107,402,970,0.4144329896907217,True
20703116420,402,1068,0.37640449438202245,True
12003167802,401,627,0.6395534290271132,True
12502147838,401,1265,0.31699604743083004,True
11902165925,401,729,0.5500685871056241,True
12602172214,401,1055,0.3800947867298578,True
12503171445,400,1924,0.2079002079002079,True
21205132223,400,908,0.44052863436123346,True
80105105105,399,2041,0.1954924056834885,True
12502147834,399,1033,0.3862536302032914,True
21305136326,399,1247,0.3199679230152366,True
11904137912,398,1647,0.2416514875531269,True
21205132120,398,902,0.44124168514412415,True
12104141737,398,1648,0.24150485436893204,True
12101168208,398,1333,0.29857464366091524,True
11903137428,398,712,0.5589887640449438,True
11903137333,397,826,0.48062953995157387,True
12501158232,397,796,0.49874371859296485,True
20702115751,396,1144,0.34615384615384615,True
12101168436,396,886,0.4469525959367946,True
11903166407,396,698,0.5673352435530086,True
12501158522,396,703,0.5633001422475107,True
20702142519,396,1077,0.36768802228412256,True
20702115708,395,1376,0.2870639534883721,True
