SA1_CODE_2021,Lebanon_population,total_population,concentration_ratio,is_cluster
11902136727,149,1179,0.1263782866836302,True
12503148343,149,791,0.18836915297092288,True
12503147920,149,1430,0.1041958041958042,True
11904166905,149,980,0.1520408163265306,True
11902136212,148,1161,0.12747631352282515,True
11901136122,148,1262,0.11727416798732171,True
12503147915,148,934,0.15845824411134904,True
11904166919,148,902,0.164079822616408,True
11901136129,147,916,0.16048034934497818,True
12701150411,147,1034,0.14216634429400388,True
21005124206,147,1200,0.1225,True
11901165506,146,716,0.20391061452513967,True
12701150509,146,1109,0.13165013525698827,True
11902136219,146,1211,0.12056151940545004,True
12503148431,146,1033,0.14133591481122942,True
12703159922,145,1102,0.13157894736842105,True
21005124210,145,1072,0.13526119402985073,True
12503148308,145,794,0.18261964735516373,True
12503147914,145,785,0.18471337579617833,True
21003144015,144,939,0.15335463258785942,True
11902136604,144,995,0.14472361809045226,True
11901136131,144,712,0.20224719101123595,True
12503171309,144,1098,0.13114754098360656,True
11901135418,144,1158,0.12435233160621761,True
11901135452,143,782,0.18286445012787725,True
12503171438,143,741,0.19298245614035087,True
11901135420,143,948,0.15084388185654007,True
11901135614,143,1059,0.13503305004721436,True
12703159904,142,982,0.1446028513238289,True
11904166820,142,597,0.23785594639865998,True
11902136613,142,756,0.18783068783068782,True
12703159913,142,1012,0.14031620553359683,True
12503171423,141,1036,0.1361003861003861,True
11901135444,141,1056,0.13352272727272727,True
12503148139,141,1025,0.1375609756097561,True
12503171601,141,822,0.17153284671532848,True
12503147908,141,1228,0.11482084690553745,True
11902136605,141,790,0.17848101265822786,True
12504171819,140,1212,0.11551155115511551,True
12703152236,140,889,0.15748031496062992,True
12503148301,140,894,0.15659955257270694,True
11901136141,140,752,0.18617021276595744,True
12503148428,140,1029,0.1360544217687075,True
12701150441,140,1080,0.12962962962962962,True
12003168104,139,1034,0.1344294003868472,True
11901135603,138,844,0.16350710900473933,True
11904166815,138,635,0.2173228346456693,True
12503148433,138,988,0.1396761133603239,True
11902136602,138,1114,0.12387791741472172,True
11904167108,138,719,0.19193324061196107,True
11902136221,138,1000,0.138,True
11901136145,137,882,0.15532879818594103,True
11902157316,137,1280,0.10703125,True
11902136617,137,669,0.20478325859491778,True
11902136601,137,757,0.1809775429326288,True
11901135402,137,877,0.15621436716077536,True
12503148434,136,1130,0.12035398230088495,True
21005124319,136,827,0.16444981862152358,True
12701150429,135,1241,0.10878323932312652,True
11902165913,135,1225,0.11020408163265306,True
12503148026,135,1208,0.11175496688741722,True
11901157229,134,1012,0.1324110671936759,True
11901165828,134,1320,0.10151515151515152,True
12501158623,134,1297,0.10331534309946029,True
21005124333,134,1064,0.12593984962406016,True
12503171408,134,589,0.22750424448217318,True
11901136115,134,1136,0.11795774647887323,True
11902165914,134,447,0.29977628635346754,True
12503148137,134,920,0.14565217391304347,True
12501158219,133,1256,0.10589171974522293,True
11901157118,133,821,0.16199756394640683,True
12701150428,132,1163,0.11349957007738606,True
12503148312,132,967,0.13650465356773525,True
12703159916,132,907,0.14553472987872107,True
11902136630,132,780,0.16923076923076924,True
11901135607,132,799,0.16520650813516896,True
21302134320,131,962,0.13617463617463618,True
12504171922,131,499,0.2625250501002004,True
12503148403,131,1194,0.10971524288107203,True
12503171442,131,808,0.16212871287128713,True
12503148412,131,957,0.13688610240334378,True
12503171301,131,908,0.14427312775330398,True
11901136014,131,1127,0.11623779946761313,True
11901165615,131,428,0.3060747663551402,True
11904167027,131,1026,0.1276803118908382,True
21003153514,130,1023,0.1270772238514174,True
21005124336,130,1013,0.12833168805528133,True
21005124209,130,1197,0.1086048454469507,True
11901157111,130,1062,0.1224105461393597,True
11901135838,130,1078,0.12059369202226346,True
12501158713,129,905,0.1425414364640884,True
12503147906,129,1000,0.129,True
21302134318,128,1230,0.1040650406504065,True
12501158413,128,917,0.1395856052344602,True
11902136225,128,1096,0.11678832116788321,True
20601149703,128,605,0.2115702479338843,True
12701150407,128,643,0.19906687402799378,True
11901135404,128,762,0.1679790026246719,True
11901165815,128,1240,0.1032258064516129,True
12701150427,127,746,0.17024128686327078,True
11901135438,127,540,0.2351851851851852,True
11902136728,127,1080,0.1175925925925926,True
11901135433,127,670,0.18955223880597014,True
11901157128,127,893,0.1422172452407615,True
11902157416,127,692,0.18352601156069365,True
11901157213,127,804,0.15796019900497513,True
11901135447,126,778,0.16195372750642673,True
11902157406,126,1071,0.11764705882352941,True
11902136702,126,1102,0.11433756805807622,True
11901135448,126,763,0.1651376146788991,True
11901157222,125,765,0.16339869281045752,True
11904167030,125,1097,0.11394712853236098,True
11901135442,124,770,0.16103896103896104,True
21005124309,124,712,0.17415730337078653,True
11902166305,124,1114,0.11131059245960502,True
12503148303,124,728,0.17032967032967034,True
12503148141,124,771,0.1608300907911803,True
12504148916,123,939,0.13099041533546327,True
11902136218,123,826,0.14891041162227603,True
12503148436,123,940,0.13085106382978723,True
11901136128,123,838,0.1467780429594272,True
11902136611,123,787,0.156289707750953,True
11901135449,121,563,0.21492007104795738,True
11901135408,120,809,0.14833127317676142,True
11901136146,120,881,0.1362088535754824,True
11902136608,120,673,0.17830609212481427,True
10701154507,120,770,0.15584415584415584,True
11901157209,120,1041,0.11527377521613832,True
11903137309,120,811,0.14796547472256474,True
12503148123,119,850,0.14,True
12501158221,119,800,0.14875,True
