SA1_CODE_2021,China_population,total_population,concentration_ratio,is_cluster,Median_rent_weekly,Median_mortgage_repay_monthly,Median_tot_hhd_inc_weekly,Average_household_size,rent_to_income_ratio,mortgage_to_income_ratio,rent_affordability,mortgage_affordability
11902165918,642,1033,0.6214908034849952,True,443,2000,1357,2.4,0.3264554163596168,0.34011677342554275,Moderately_Affordable,Moderately_Affordable
20701114727,642,1685,0.3810089020771513,True,400,2708,2132,2.2,0.18761726078799248,0.29311588973877906,Affordable,Affordable
12103141057,641,1557,0.41168914579319205,True,578,2400,2117,2.4,0.2730278696268304,0.26161840049416807,Affordable,Affordable
12101168401,641,977,0.6560900716479018,True,528,2840,1652,2.0,0.3196125907990315,0.39672192214565094,Moderately_Affordable,Moderately_Affordable
20604111835,639,1677,0.3810375670840787,True,392,1850,1732,1.8,0.22632794457274827,0.24649138390477882,Affordable,Affordable
11703133129,638,2398,0.26605504587155965,True,490,2600,1433,1.7,0.34193998604326586,0.418702023726448,Moderately_Affordable,Expensive
11903137323,638,1135,0.5621145374449339,True,545,2817,1389,3.2,0.3923686105111591,0.46801794317993023,Moderately_Affordable,Expensive
11703164733,636,1039,0.6121270452358036,True,600,2473,2020,1.9,0.297029702970297,0.28252094440213255,Affordable,Affordable
12101168434,636,1195,0.5322175732217573,True,600,3000,2176,2.4,0.2757352941176471,0.31815610859728505,Affordable,Moderately_Affordable
12502171237,635,1788,0.35514541387024606,True,500,2419,2044,2.9,0.2446183953033268,0.273107029956345,Affordable,Affordable
11703164731,632,1349,0.46849518161601184,True,581,2809,2172,2.1,0.26749539594843463,0.29844878878028047,Affordable,Affordable
12502171202,631,1175,0.5370212765957447,True,700,3600,2472,3.2,0.28317152103559873,0.33607169529499625,Affordable,Moderately_Affordable
20702142404,627,1381,0.4540188269370022,True,481,2392,1593,2.8,0.3019460138104206,0.3465160075329567,Moderately_Affordable,Moderately_Affordable
20703116417,627,1325,0.47320754716981134,True,436,2301,1809,2.5,0.2410171365395246,0.2935323383084577,Affordable,Affordable
80105105101,626,1079,0.5801668211306765,True,580,2024,2137,1.9,0.271408516612073,0.2185666462690328,Affordable,Affordable
11903137019,626,1559,0.40153944836433614,True,550,2400,1972,3.1,0.2789046653144016,0.2808550475893275,Affordable,Affordable
30501111025,625,1034,0.6044487427466151,True,433,1892,1439,1.7,0.30090340514246006,0.30341583364515956,Moderately_Affordable,Moderately_Affordable
30303106420,624,1024,0.609375,True,670,2600,2166,3.1,0.30932594644506,0.2770083102493075,Moderately_Affordable,Affordable
12601172112,624,1465,0.425938566552901,True,600,3000,2265,3.1,0.26490066225165565,0.3056546102903719,Affordable,Moderately_Affordable
20703116524,622,1384,0.44942196531791906,True,390,2000,1325,2.1,0.2943396226415094,0.3483309143686502,Affordable,Moderately_Affordable
20703116415,620,1129,0.5491585473870682,True,381,2100,1471,2.4,0.2590074779061863,0.32944621659781415,Affordable,Moderately_Affordable
11703164527,620,1518,0.40843214756258234,True,660,3234,2051,1.8,0.3217942467089225,0.36387503281701233,Moderately_Affordable,Moderately_Affordable
20604150619,620,1169,0.5303678357570573,True,381,1517,1397,1.6,0.2727272727272727,0.25059192775728206,Affordable,Affordable
12101168406,619,1269,0.48778565799842394,True,571,2184,1759,2.4,0.32461625923820353,0.2865264354747015,Moderately_Affordable,Affordable
11701163541,618,1316,0.4696048632218845,True,630,3000,2145,2.4,0.2937062937062937,0.32275416890801506,Affordable,Moderately_Affordable
21204131011,618,2319,0.2664941785252264,True,369,1600,1717,2.6,0.21490972626674432,0.21504412884727386,Affordable,Affordable
11703164618,614,822,0.7469586374695864,True,480,2250,1550,2.7,0.3096774193548387,0.3349875930521092,Moderately_Affordable,Moderately_Affordable
80105105314,614,1460,0.42054794520547945,True,530,1879,2137,1.7,0.24801123069723913,0.20290846261833628,Affordable,Affordable
11903166420,613,1096,0.5593065693430657,True,470,2167,1802,2.5,0.26082130965593786,0.2775121659694357,Affordable,Affordable
12102157922,613,1562,0.39244558258642764,True,500,2120,2219,2.5,0.22532672374943669,0.22047353277637188,Affordable,Affordable
11902166115,611,2017,0.30292513634110063,True,455,2167,1804,2.2,0.2522172949002217,0.2772045028142589,Affordable,Affordable
12101168433,608,1440,0.4222222222222222,True,500,2300,1947,2.1,0.25680534155110424,0.2726087471850184,Affordable,Affordable
12003167829,607,939,0.6464323748668797,True,475,3250,1963,2.8,0.24197656647987772,0.38206826286296486,Affordable,Moderately_Affordable
12003167828,604,893,0.6763717805151176,True,520,2950,2105,2.9,0.24703087885985747,0.3234058103416773,Affordable,Moderately_Affordable
